#TAK ADSB IDs RUSSIA Military
#Copyright 2021 Stefan Gofferje
#License: CC-BY-SA 4.0
#Format:
#"hexid","CoT type","registration","type","operator"

"15405e","a-h-A-M-F-C-H","RA-82014","An-124 100","RUS AF"
"15406c","a-h-A-M-F-C-H","RA-82028","An-124 100","RUS AF"
"15406e","a-h-A-M-F-C-H","RA-82030","An-124 100","RUS AF"
"154070","a-h-A-M-F-C-H","RF-82032","An-124 100","RUS AF"
"154073","a-h-A-M-F-C-H","RA-82035","An-124","RUS AF"
"154075","a-h-A-M-F-C-H","RA-82037","An-124","RUS AF"
"154076","a-h-A-M-F-C-H","RA-82038","An-124 100","RUS AF"
"154077","a-h-A-M-F-C-H","RA-82039","An-124 100","RUS AF"
"154078","a-h-A-M-F-C-H","RA-82040","An-124","RUS AF"
"154079","a-h-A-M-F-C-H","RF-82041","An-124 100","RUS AF"
"154c31","a-h-A-M-F-U-H","RA-85041","Tu-154M","RUS AF"
"154c32","a-h-A-M-F-U-H","RA-85042","Tu-154M","RUS AF"
"154c83","a-h-A-M-F-U-H","RA-85123","Tu-154M","RUS AF"
"154ca3","a-h-A-M-F-U-H","RA-85155","Tu-154M","RUS AF"
"154d70","a-h-A-M-F-U-H","RA-85360","Tu-154B2","RUS AF"
"154db2","a-h-A-M-F-U-H","RA-85426","Tu-154B2","RUS AF"
"154dc6","a-h-A-M-F-U-H","RA-85446","Tu-154B2","RUS AF"
"154e1e","a-h-A-M-F-U-H","RA-85534","Tu-154B2","RUS AF"
"154e32","a-h-A-M-F-U-H","RA-85554","Tu-154B2","RUS AF"
"154e33","a-h-A-M-F-U-H","RA-85555","Tu-154B2","RUS AF"
"154e37","a-h-A-M-F-U-H","RA-85559","Tu-154B2","RUS AF"
"154e3b","a-h-A-M-F-U-H","RA-85563","Tu-154B2","RUS AF"
"154e3d","a-h-A-M-F-U-H","RA-85565","Tu-154B2","RUS AF"
"154e43","a-h-A-M-F-U-H","RA-85571","Tu-154B2","RUS AF"
"154e52","a-h-A-M-F-U-H","RA-85586","Tu-154B2","RUS AF"
"154e5a","a-h-A-M-F-U-H","RA-85594","Tu-154B2","RUS AF"
"154e65","a-h-A-M-F-U-H","RA-85605","Tu-154B2","RUS AF"
"154e6e","a-h-A-M-F-U-H","RF-85855","Tu-154M","RUS N"
"154e70","a-h-A-M-F-U-H","RF-85856","Tu-154M","RUS N"
"154f53","a-h-A-M-F-U-H","RA-85843","Tu-154M","RUS AF"
"155082","a-h-A-M-F-D","RA-86146","IL-86VKP","RUS AF"
"155083","a-h-A-M-F-D","RF-93645","IL-86VKP","RUS AF"
"155084","a-h-A-M-F-D","RF-93642","IL-86VKP","RUS AF"
"155085","a-h-A-M-F-D","RA-86149","IL-86VKP","RUS AF"
"1551df","a-h-A-M-F-C-M","RA-86495","IL-62M","RUS AF"
"1551e0","a-h-A-M-F-C-M","RA-86496","IL-62M","RUS AF"
"15520a","a-h-A-M-F-C-M","RA-86538","IL-62M","RUS AF"
"15520b","a-h-A-M-F-C-M","RA-86539","IL-62M","RUS AF"
"15521b","a-h-A-M-F-C-M","RA-86555","IL-62M","RUS AF"
"15521f","a-h-A-M-F-C-M","RA-86559","IL-62M","RUS AF"
"155221","a-h-A-M-F-C-M","RA-86561","IL-62M","RUS AF"
"15522c","a-h-A-M-F-C-M","RA-86572","IL-62M","RUS AF"
"155329","a-h-A-M-F-C-H","RF-86825","IL-76M","RUS AF"
